category_id,document_name,parties,agreement_date,effective_date,expiration_date,renewal_term,notice_period_to_terminate_renewal,governing_law,most_favored_nation,non_compete,exclusivity,no_solicit_of_customers,competitive_restriction_exception,no_solicit_of_employees,non_disparagement,termination_for_convenience,rofr_rofo_rofn,change_of_control,anti_assignment,revenue_profit_sharing,price_restrictions,minimum_commitment,volume_restriction,ip_ownership_assignment,joint_ip_ownership,license_grant,non_transferable_license,affiliate_license_licensor,affiliate_license_licensee,unlimited_all_you_can_eat_license,irrevocable_or_perpetual_license,source_code_escrow,post_termination_services,audit_rights,uncapped_liability,cap_on_liability,liquidated_damages,warranty_duration,insurance,covenant_not_to_sue,third_party_beneficiary
document_name,325.0,324.0,300.0,253.0,263.0,120.0,76.0,274.0,20.0,77.0,117.0,22.0,48.0,39.0,25.0,123.0,54.0,70.0,235.0,103.0,12.0,101.0,52.0,81.0,31.0,163.0,93.0,14.0,38.0,11.0,46.0,10.0,122.0,139.0,78.0,184.0,38.0,52.0,104.0,59.0,21.0
parties,324.0,324.0,300.0,253.0,263.0,120.0,76.0,273.0,20.0,77.0,117.0,22.0,48.0,39.0,25.0,123.0,54.0,70.0,235.0,103.0,12.0,101.0,52.0,81.0,31.0,163.0,93.0,14.0,38.0,11.0,46.0,10.0,122.0,139.0,78.0,184.0,38.0,52.0,104.0,59.0,21.0
agreement_date,300.0,300.0,300.0,239.0,246.0,112.0,73.0,258.0,18.0,72.0,110.0,21.0,48.0,37.0,24.0,114.0,53.0,63.0,221.0,99.0,10.0,95.0,50.0,74.0,28.0,150.0,86.0,14.0,34.0,11.0,42.0,8.0,115.0,128.0,73.0,169.0,35.0,47.0,98.0,56.0,20.0
effective_date,253.0,253.0,239.0,253.0,224.0,105.0,68.0,230.0,17.0,64.0,98.0,18.0,46.0,31.0,19.0,107.0,42.0,61.0,202.0,87.0,12.0,89.0,48.0,73.0,29.0,139.0,80.0,11.0,35.0,10.0,41.0,7.0,109.0,123.0,75.0,164.0,34.0,45.0,93.0,50.0,15.0
expiration_date,263.0,263.0,246.0,224.0,263.0,117.0,75.0,243.0,19.0,73.0,104.0,20.0,46.0,37.0,23.0,112.0,50.0,65.0,222.0,90.0,12.0,93.0,50.0,75.0,29.0,150.0,89.0,13.0,33.0,9.0,43.0,9.0,116.0,130.0,76.0,170.0,36.0,51.0,96.0,56.0,17.0
renewal_term,120.0,120.0,112.0,105.0,117.0,120.0,76.0,114.0,13.0,39.0,60.0,14.0,24.0,24.0,9.0,52.0,25.0,35.0,107.0,55.0,12.0,56.0,28.0,33.0,12.0,77.0,48.0,5.0,16.0,6.0,18.0,6.0,63.0,75.0,42.0,91.0,21.0,35.0,47.0,29.0,8.0
notice_period_to_terminate_renewal,76.0,76.0,73.0,68.0,75.0,76.0,76.0,73.0,8.0,22.0,35.0,9.0,17.0,17.0,2.0,33.0,16.0,23.0,70.0,33.0,6.0,33.0,17.0,19.0,7.0,45.0,28.0,4.0,8.0,4.0,9.0,4.0,42.0,50.0,28.0,59.0,12.0,24.0,34.0,18.0,6.0
governing_law,274.0,273.0,258.0,230.0,243.0,114.0,73.0,274.0,20.0,73.0,113.0,20.0,47.0,35.0,24.0,117.0,52.0,70.0,229.0,94.0,11.0,95.0,50.0,78.0,31.0,155.0,91.0,14.0,38.0,11.0,46.0,10.0,120.0,137.0,77.0,180.0,35.0,51.0,102.0,58.0,18.0
most_favored_nation,20.0,20.0,18.0,17.0,19.0,13.0,8.0,20.0,20.0,8.0,12.0,1.0,5.0,3.0,2.0,12.0,5.0,6.0,20.0,9.0,1.0,10.0,6.0,9.0,4.0,14.0,8.0,3.0,5.0,2.0,6.0,0.0,13.0,13.0,7.0,17.0,2.0,7.0,10.0,4.0,2.0
non_compete,77.0,77.0,72.0,64.0,73.0,39.0,22.0,73.0,8.0,77.0,46.0,14.0,30.0,19.0,9.0,37.0,26.0,27.0,70.0,47.0,2.0,35.0,23.0,34.0,19.0,57.0,39.0,7.0,15.0,4.0,21.0,5.0,48.0,49.0,28.0,54.0,15.0,12.0,32.0,28.0,11.0
exclusivity,117.0,117.0,110.0,98.0,104.0,60.0,35.0,113.0,12.0,46.0,117.0,10.0,34.0,16.0,14.0,40.0,35.0,36.0,102.0,58.0,6.0,57.0,33.0,42.0,20.0,91.0,51.0,6.0,21.0,4.0,24.0,4.0,60.0,70.0,38.0,83.0,16.0,26.0,49.0,34.0,8.0
no_solicit_of_customers,22.0,22.0,21.0,18.0,20.0,14.0,9.0,20.0,1.0,14.0,10.0,22.0,12.0,12.0,3.0,8.0,7.0,9.0,19.0,12.0,2.0,9.0,5.0,13.0,4.0,11.0,8.0,1.0,4.0,0.0,2.0,1.0,12.0,12.0,8.0,12.0,4.0,5.0,12.0,8.0,3.0
competitive_restriction_exception,48.0,48.0,48.0,46.0,46.0,24.0,17.0,47.0,5.0,30.0,34.0,12.0,48.0,15.0,6.0,18.0,19.0,22.0,44.0,25.0,3.0,24.0,15.0,24.0,8.0,37.0,25.0,5.0,9.0,1.0,10.0,4.0,28.0,31.0,22.0,37.0,11.0,8.0,19.0,12.0,8.0
no_solicit_of_employees,39.0,39.0,37.0,31.0,37.0,24.0,17.0,35.0,3.0,19.0,16.0,12.0,15.0,39.0,4.0,28.0,13.0,16.0,34.0,16.0,3.0,13.0,5.0,21.0,2.0,20.0,15.0,3.0,5.0,0.0,8.0,3.0,24.0,18.0,9.0,22.0,10.0,11.0,19.0,10.0,7.0
non_disparagement,25.0,25.0,24.0,19.0,23.0,9.0,2.0,24.0,2.0,9.0,14.0,3.0,6.0,4.0,25.0,7.0,6.0,6.0,23.0,8.0,0.0,13.0,5.0,10.0,3.0,18.0,13.0,1.0,3.0,0.0,5.0,0.0,10.0,9.0,6.0,15.0,4.0,3.0,13.0,10.0,2.0
termination_for_convenience,123.0,123.0,114.0,107.0,112.0,52.0,33.0,117.0,12.0,37.0,40.0,8.0,18.0,28.0,7.0,123.0,25.0,32.0,104.0,40.0,4.0,40.0,18.0,40.0,13.0,68.0,41.0,8.0,19.0,1.0,26.0,7.0,61.0,67.0,33.0,90.0,20.0,28.0,58.0,20.0,9.0
rofr_rofo_rofn,54.0,54.0,53.0,42.0,50.0,25.0,16.0,52.0,5.0,26.0,35.0,7.0,19.0,13.0,6.0,25.0,54.0,20.0,52.0,29.0,2.0,24.0,12.0,24.0,13.0,37.0,26.0,3.0,12.0,2.0,13.0,2.0,30.0,34.0,15.0,39.0,8.0,8.0,30.0,12.0,7.0
change_of_control,70.0,70.0,63.0,61.0,65.0,35.0,23.0,70.0,6.0,27.0,36.0,9.0,22.0,16.0,6.0,32.0,20.0,70.0,69.0,36.0,4.0,24.0,11.0,31.0,13.0,47.0,31.0,4.0,14.0,1.0,14.0,5.0,37.0,51.0,25.0,57.0,19.0,13.0,31.0,20.0,7.0
anti_assignment,235.0,235.0,221.0,202.0,222.0,107.0,70.0,229.0,20.0,70.0,102.0,19.0,44.0,34.0,23.0,104.0,52.0,69.0,235.0,81.0,11.0,88.0,48.0,75.0,31.0,146.0,88.0,14.0,35.0,10.0,46.0,9.0,113.0,129.0,77.0,164.0,34.0,49.0,96.0,55.0,18.0
revenue_profit_sharing,103.0,103.0,99.0,87.0,90.0,55.0,33.0,94.0,9.0,47.0,58.0,12.0,25.0,16.0,8.0,40.0,29.0,36.0,81.0,103.0,1.0,42.0,25.0,35.0,24.0,72.0,43.0,8.0,18.0,7.0,20.0,5.0,57.0,67.0,28.0,70.0,18.0,12.0,38.0,24.0,8.0
price_restrictions,12.0,12.0,10.0,12.0,12.0,12.0,6.0,11.0,1.0,2.0,6.0,2.0,3.0,3.0,0.0,4.0,2.0,4.0,11.0,1.0,12.0,7.0,5.0,4.0,1.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,5.0,9.0,4.0,4.0,6.0,3.0,0.0
minimum_commitment,101.0,101.0,95.0,89.0,93.0,56.0,33.0,95.0,10.0,35.0,57.0,9.0,24.0,13.0,13.0,40.0,24.0,24.0,88.0,42.0,7.0,101.0,30.0,30.0,12.0,72.0,42.0,6.0,14.0,2.0,17.0,3.0,57.0,66.0,40.0,83.0,19.0,29.0,50.0,28.0,8.0
volume_restriction,52.0,52.0,50.0,48.0,50.0,28.0,17.0,50.0,6.0,23.0,33.0,5.0,15.0,5.0,5.0,18.0,12.0,11.0,48.0,25.0,5.0,30.0,52.0,18.0,12.0,40.0,24.0,4.0,7.0,4.0,12.0,3.0,33.0,31.0,22.0,39.0,4.0,10.0,27.0,13.0,2.0
ip_ownership_assignment,81.0,81.0,74.0,73.0,75.0,33.0,19.0,78.0,9.0,34.0,42.0,13.0,24.0,21.0,10.0,40.0,24.0,31.0,75.0,35.0,4.0,30.0,18.0,81.0,23.0,60.0,38.0,12.0,22.0,2.0,33.0,5.0,47.0,49.0,30.0,58.0,16.0,17.0,34.0,27.0,10.0
joint_ip_ownership,31.0,31.0,28.0,29.0,29.0,12.0,7.0,31.0,4.0,19.0,20.0,4.0,8.0,2.0,3.0,13.0,13.0,13.0,31.0,24.0,1.0,12.0,12.0,23.0,31.0,30.0,21.0,5.0,11.0,4.0,15.0,4.0,22.0,27.0,21.0,30.0,3.0,6.0,14.0,8.0,1.0
license_grant,163.0,163.0,150.0,139.0,150.0,77.0,45.0,155.0,14.0,57.0,91.0,11.0,37.0,20.0,18.0,68.0,37.0,47.0,146.0,72.0,7.0,72.0,40.0,60.0,30.0,163.0,92.0,14.0,38.0,10.0,46.0,9.0,89.0,94.0,64.0,124.0,24.0,38.0,64.0,47.0,12.0
non_transferable_license,93.0,93.0,86.0,80.0,89.0,48.0,28.0,91.0,8.0,39.0,51.0,8.0,25.0,15.0,13.0,41.0,26.0,31.0,88.0,43.0,3.0,42.0,24.0,38.0,21.0,92.0,93.0,9.0,28.0,6.0,32.0,9.0,52.0,56.0,44.0,79.0,16.0,22.0,34.0,32.0,8.0
