,char_length,word_count,approx_token_count
count,325.0,325.0,325.0
mean,53164.75384615385,7927.6461538461535,11814.378461538461
std,55677.136157479224,8194.681158597516,12372.673974495741
min,1081.0,170.0,240.0
10%,6180.799999999999,925.5999999999999,1373.3999999999999
25%,16509.0,2500.0,3669.0
50%,35612.0,5326.0,7914.0
75%,67932.0,10256.0,15096.0
90%,126975.20000000019,18733.600000000006,28216.800000000043
95%,162884.40000000002,25326.0,36196.200000000004
99%,262168.03999999986,39504.87999999995,58259.19999999997
max,338211.0,45577.0,75158.0
